subsidy_id,is_synthetic,subsidy_name,subsidy_category,locality,lga_name,abs_lga_code,vicmap_lga_code,regional_group,area_type,anchor_osm_id,anchor_poi_name,anchor_poi_category,anchor_poi_subcategory,anchor_latitude,anchor_longitude,anchor_role,geographic_scope,applicant_type,occupation_restriction,benefit_type,max_amount_aud,payment_frequency,income_limit_aud_annual,income_assessment_unit,age_subject,age_min,age_max,new_resident_required,apply_within_days_of_move,minimum_move_distance_km,eligibility_summary,required_evidence,mock_application_open_date,mock_application_close_date,mock_status,mock_provider,official_source_url,application_url,source_type,generated_on,record_notice
MOCK-SUB-0011,true,[MOCK] Robinvale Independent Living Support,accessibility,ROBINVALE,SWAN HILL,26610,366,Mallee,rural_council,w238150175,Robinvale District Health Services,healthcare,hospital,-34.5843621,142.7815026,context_only_not_provider,mock_locality,individual,none,grant,3150,one_off,75000,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in ROBINVALE (SWAN HILL LGA). Annual gross individual income at most AUD 75000. Disability or mobility support need; support assessment and equipment quote required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Disability or mobility support need; support assessment and equipment quote required.,2026-06-20,2026-11-30,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0012,true,[MOCK] Murtoa Health Access Reimbursement,healthcare,MURTOA,YARRIAMBIACK,27630,378,Wimmera Southern Mallee,rural_council,w222413475,Murtoa Community Health Centre,healthcare,hospital,-36.6198007,142.4707724,context_only_not_provider,mock_locality,individual,none,reimbursement,250,one_off,60000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in MURTOA (YARRIAMBIACK LGA). Annual gross individual income at most AUD 60000. Eligible consultation, prescription or dental expense; receipt required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Eligible consultation, prescription or dental expense; receipt required.",2026-09-26,2027-02-12,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0013,true,[MOCK] Yarrawonga Moving Expense Support,relocation,YARRAWONGA,MOIRA,24900,347,Goulburn,rural_council,w224086172,Shire Hall,community,town_hall,-36.0128179,146.0049662,context_only_not_provider,mock_locality,household,none,reimbursement,2850,one_off,90000,household,applicant,18,,true,90,50,FICTIONAL TEST RULES: reside in YARRAWONGA (MOIRA LGA). Annual gross household income at most AUD 90000. Move at least 50 km and establish primary residence; moving receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Move at least 50 km and establish primary residence; moving receipts required.,2026-05-04,2026-11-11,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0014,true,[MOCK] Mount Buller Sport Participation Voucher,sport,MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,384,Goulburn,alpine_resort,n11524374512,RockWire,recreation,sports_centre,-37.1442081,146.4229464,context_only_not_provider,mock_locality,individual,none,voucher,300,one_off,75000,individual,applicant,5,25,false,,,FICTIONAL TEST RULES: reside in MOUNT BULLER (MOUNT BULLER ALPINE RESORT (UNINC) LGA). Annual gross individual income at most AUD 75000. Local resident aged 5 to 25; sports enrolment or equipment quote required.,Proof of identity and locality residence; income evidence; Local resident aged 5 to 25; sports enrolment or equipment quote required.,2026-04-29,2027-01-04,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0015,true,[MOCK] Wodonga Early Years Participation Voucher,childcare,WODONGA,WODONGA,27170,374,Ovens Murray,regional_city,w1040950057,,education,childcare,-36.129046,146.8880757,context_only_not_provider,mock_locality,household,none,voucher,1000,one_off,90000,household,dependent_child,0,5,false,,,FICTIONAL TEST RULES: reside in WODONGA (WODONGA LGA). Annual gross household income at most AUD 90000. Parent or guardian of child aged 0 to 5; enrolment confirmation required.,Proof of identity and locality residence; income evidence; Parent or guardian of child aged 0 to 5; enrolment confirmation required.,2026-07-01,2027-02-04,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0016,true,[MOCK] Lara Independent Living Support,accessibility,LARA,GREATER GEELONG,22750,327,Barwon,regional_city,w1378473453,Lara and District Men's Shed,community,community_centre,-38.0181495,144.4098338,context_only_not_provider,mock_locality,individual,none,grant,3750,one_off,75000,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in LARA (GREATER GEELONG LGA). Annual gross individual income at most AUD 75000. Disability or mobility support need; support assessment and equipment quote required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Disability or mobility support need; support assessment and equipment quote required.,2026-11-29,2027-05-22,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0017,true,[MOCK] Fairhaven Local Travel Voucher,transport,FAIRHAVEN,SURF COAST,26490,365,Barwon,rural_council,n4159707159,Yarringa Rd/Great Ocean Rd,public_transport,bus_stop,-38.4679435,144.0856619,context_only_not_provider,mock_locality,individual,none,voucher,500,one_off,75000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in FAIRHAVEN (SURF COAST LGA). Annual gross individual income at most AUD 75000. Local resident requiring travel support; proposed study, work or medical journey required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Local resident requiring travel support; proposed study, work or medical journey required.",2026-08-11,2026-10-09,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0018,true,[MOCK] Ocean Grove Moving Expense Support,relocation,OCEAN GROVE,GREATER GEELONG,22750,327,Barwon,regional_city,w266349738,Ocean Grove Library,community,library,-38.2663053,144.5220807,context_only_not_provider,mock_locality,household,none,reimbursement,1050,one_off,75000,household,applicant,18,,true,90,50,FICTIONAL TEST RULES: reside in OCEAN GROVE (GREATER GEELONG LGA). Annual gross household income at most AUD 75000. Move at least 50 km and establish primary residence; moving receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Move at least 50 km and establish primary residence; moving receipts required.,2026-03-23,2026-08-04,mock_closed,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0019,true,[MOCK] Red Cliffs Household Settling Support,housing_setup,RED CLIFFS,MILDURA,24780,345,Mallee,regional_city,w1046372727,Jacaranda Village,community,social_facility,-34.3153511,142.1892699,context_only_not_provider,mock_locality,household,none,reimbursement,1200,one_off,75000,household,applicant,18,,true,90,,FICTIONAL TEST RULES: reside in RED CLIFFS (MILDURA LGA). Annual gross household income at most AUD 75000. New resident; tenancy at least 6 months; household essentials receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; New resident; tenancy at least 6 months; household essentials receipts required.,2026-07-09,2026-10-30,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0020,true,[MOCK] Torquay Household Settling Support,housing_setup,TORQUAY,SURF COAST,26490,365,Barwon,rural_council,w71201303,The Salvation Army Torquay Corps,community,social_facility,-38.3326084,144.318922,context_only_not_provider,mock_locality,household,none,reimbursement,1050,one_off,110000,household,applicant,18,,true,90,,FICTIONAL TEST RULES: reside in TORQUAY (SURF COAST LGA). Annual gross household income at most AUD 110000. New resident; tenancy at least 6 months; household essentials receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; New resident; tenancy at least 6 months; household essentials receipts required.,2026-11-27,2027-04-25,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0021,true,[MOCK] Queenscliff Moving Expense Support,relocation,QUEENSCLIFF,QUEENSCLIFFE,26080,360,Barwon,rural_council,n10713294111,Wirrng Wirrng,community,community_centre,-38.2676352,144.661426,context_only_not_provider,mock_locality,household,none,reimbursement,2300,one_off,110000,household,applicant,18,,true,90,50,FICTIONAL TEST RULES: reside in QUEENSCLIFF (QUEENSCLIFFE LGA). Annual gross household income at most AUD 110000. Move at least 50 km and establish primary residence; moving receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Move at least 50 km and establish primary residence; moving receipts required.,2026-10-08,2027-03-07,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0022,true,[MOCK] Ararat Home Efficiency Rebate,energy,ARARAT,ARARAT,20260,301,Central Highlands,rural_council,n332197630,Ararat Gallery TAMA,community,town_hall,-37.2830939,142.9321971,context_only_not_provider,mock_locality,household,none,rebate,1100,one_off,75000,household,applicant,18,,false,,,FICTIONAL TEST RULES: reside in ARARAT (ARARAT LGA). Annual gross household income at most AUD 75000. Primary residence in locality; owner consent if renting and efficiency upgrade quote required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Primary residence in locality; owner consent if renting and efficiency upgrade quote required.,2026-07-20,2027-04-30,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0023,true,[MOCK] Wangaratta Community Participation Voucher,community,WANGARATTA,WANGARATTA,26700,368,Ovens Murray,regional_city,w751754797,Wangaratta Library,community,library,-36.3550386,146.320055,context_only_not_provider,mock_locality,individual,none,voucher,250,one_off,60000,individual,applicant,18,,false,,,FICTIONAL TEST RULES: reside in WANGARATTA (WANGARATTA LGA). Annual gross individual income at most AUD 60000. Local resident joining a community class or activity; registration confirmation required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Local resident joining a community class or activity; registration confirmation required.,2026-06-08,2027-04-30,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0024,true,[MOCK] Paynesville Home Efficiency Rebate,energy,PAYNESVILLE,EAST GIPPSLAND,22110,319,Gippsland,rural_council,w254312756,Paynesville Neighbourhood Centre,community,community_centre,-37.9195716,147.7232764,context_only_not_provider,mock_locality,household,none,rebate,700,one_off,90000,household,applicant,18,,false,,,FICTIONAL TEST RULES: reside in PAYNESVILLE (EAST GIPPSLAND LGA). Annual gross household income at most AUD 90000. Primary residence in locality; owner consent if renting and efficiency upgrade quote required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Primary residence in locality; owner consent if renting and efficiency upgrade quote required.,2026-08-15,2027-03-05,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0025,true,[MOCK] Long Gully Local Travel Voucher,transport,LONG GULLY,GREATER BENDIGO,22620,325,Loddon Campaspe,regional_city,n10749956217,St Peters PS/Holmes Rd,public_transport,bus_stop,-36.7429864,144.2735168,context_only_not_provider,mock_locality,individual,none,voucher,550,one_off,45000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in LONG GULLY (GREATER BENDIGO LGA). Annual gross individual income at most AUD 45000. Local resident requiring travel support; proposed study, work or medical journey required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Local resident requiring travel support; proposed study, work or medical journey required.",2026-04-15,2026-10-09,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0026,true,[MOCK] Rochester Sport Participation Voucher,sport,ROCHESTER,CAMPASPE,21370,310,Loddon Campaspe,rural_council,w54928391,Lions Park,recreation,park,-36.3598627,144.6976104,context_only_not_provider,mock_locality,individual,none,voucher,350,one_off,75000,individual,applicant,5,25,false,,,FICTIONAL TEST RULES: reside in ROCHESTER (CAMPASPE LGA). Annual gross individual income at most AUD 75000. Local resident aged 5 to 25; sports enrolment or equipment quote required.,Proof of identity and locality residence; income evidence; Local resident aged 5 to 25; sports enrolment or equipment quote required.,2026-05-15,2026-10-18,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0027,true,[MOCK] Wangaratta Household Settling Support,housing_setup,WANGARATTA,WANGARATTA,26700,368,Ovens Murray,regional_city,w616046234,,community,social_facility,-36.3756796,146.3044284,context_only_not_provider,mock_locality,household,none,reimbursement,2150,one_off,90000,household,applicant,18,,true,90,,FICTIONAL TEST RULES: reside in WANGARATTA (WANGARATTA LGA). Annual gross household income at most AUD 90000. New resident; tenancy at least 6 months; household essentials receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; New resident; tenancy at least 6 months; household essentials receipts required.,2026-06-07,2027-02-16,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0028,true,[MOCK] Koroit Local Travel Voucher,transport,KOROIT,MOYNE,25490,354,Great South Coast,rural_council,n14081348433,Obriens Lane/Koroit-Port Fairy Rd,public_transport,bus_stop,-38.301862,142.3551964,context_only_not_provider,mock_locality,individual,none,voucher,250,one_off,75000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in KOROIT (MOYNE LGA). Annual gross individual income at most AUD 75000. Local resident requiring travel support; proposed study, work or medical journey required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Local resident requiring travel support; proposed study, work or medical journey required.",2026-05-18,2027-05-01,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0029,true,[MOCK] Yarrawonga Household Settling Support,housing_setup,YARRAWONGA,MOIRA,24900,347,Goulburn,rural_council,n12695934281,MHA Care,community,social_facility,-36.0129136,146.0039278,context_only_not_provider,mock_locality,household,none,reimbursement,1850,one_off,90000,household,applicant,18,,true,90,,FICTIONAL TEST RULES: reside in YARRAWONGA (MOIRA LGA). Annual gross household income at most AUD 90000. New resident; tenancy at least 6 months; household essentials receipts required. Apply within 90 days of moving. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; New resident; tenancy at least 6 months; household essentials receipts required.,2026-10-04,2027-01-11,mock_upcoming,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0030,true,[MOCK] Ironbark Health Access Reimbursement,healthcare,IRONBARK,GREATER BENDIGO,22620,325,Loddon Campaspe,regional_city,w1544989043,Active Podiatry,healthcare,doctor,-36.756054,144.2681711,context_only_not_provider,mock_locality,individual,none,reimbursement,950,one_off,45000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in IRONBARK (GREATER BENDIGO LGA). Annual gross individual income at most AUD 45000. Eligible consultation, prescription or dental expense; receipt required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Eligible consultation, prescription or dental expense; receipt required.",2026-08-19,2027-01-18,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0031,true,[MOCK] Watchem Digital Learning Support,digital,WATCHEM,BULOKE,21270,309,Mallee,rural_council,n11474713562,Watchem Public Hall,community,community_centre,-36.1489718,142.8594018,context_only_not_provider,mock_locality,individual,none,grant,350,one_off,,individual,applicant,16,,false,,,FICTIONAL TEST RULES: reside in WATCHEM (BULOKE LGA). No income limit in this mock scenario. Local resident aged at least 16 enrolled in study or digital skills activity; course and device quote required.,Proof of identity and locality residence; Local resident aged at least 16 enrolled in study or digital skills activity; course and device quote required.,2026-05-30,2026-11-17,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0032,true,[MOCK] Lake Wendouree Health Access Reimbursement,healthcare,LAKE WENDOUREE,BALLARAT,20570,302,Central Highlands,regional_city,w58404174,Nazareth House Aged Care,healthcare,hospital,-37.5532862,143.8452706,context_only_not_provider,mock_locality,individual,none,reimbursement,450,one_off,45000,individual,applicant,18,,false,,,"FICTIONAL TEST RULES: reside in LAKE WENDOUREE (BALLARAT LGA). Annual gross individual income at most AUD 45000. Eligible consultation, prescription or dental expense; receipt required. Applicant aged at least 18.","Proof of identity and locality residence; income evidence; Eligible consultation, prescription or dental expense; receipt required.",2026-08-18,2026-11-20,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
MOCK-SUB-0033,true,[MOCK] Tarwin Lower Home Efficiency Rebate,energy,TARWIN LOWER,SOUTH GIPPSLAND,26170,361,Gippsland,rural_council,w1334950007,Tarwin Lower Community Health Centre,community,community_centre,-38.7038371,145.8679887,context_only_not_provider,mock_locality,household,none,rebate,700,one_off,75000,household,applicant,18,,false,,,FICTIONAL TEST RULES: reside in TARWIN LOWER (SOUTH GIPPSLAND LGA). Annual gross household income at most AUD 75000. Primary residence in locality; owner consent if renting and efficiency upgrade quote required. Applicant aged at least 18.,Proof of identity and locality residence; income evidence; Primary residence in locality; owner consent if renting and efficiency upgrade quote required.,2026-07-18,2026-12-28,mock_open,SERINEA Demo Support Office (fictional),,,synthetic_from_poi_context,2026-09-08,"Fictional subsidy for testing only. Real POI is a geographic anchor, not a participating provider. Not open government subsidy data."
